month_year,province_code,total_pop,total_emp,emp_males,emp_females,total_full_emp,total_part_emp,total_unem,total_emp_rate,total_wage,total_wage_males,total_wage_females,total_avg_wage,avg_wage_males,avg_wage_females,total_median_wage,median_wage_males,median_wage_females,total_hours,total_average_hours,average_hours_males,average_hours_females,ei_claims,cpi,retail_sales,wholesale_sales,manufacturing_sales,food_services_receipts,travellers,vehicles,electric_power_generation,value,international_merchandise_imports,new_housing_price_index
1976-01-01,AB,1276.7,819.5,512.5,307.1,693.7,125.8,37,64.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,30496.7,38.7,42.8,32,NA,NA,NA,NA,NA,NA,NA,17644,NA,NA,NA,NA
1976-01-01,BC,1852.4,1029.7,650.4,379.3,877.1,152.6,95.8,55.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,36880,37.3,40.3,32.2,NA,NA,NA,NA,NA,NA,NA,224712,NA,NA,NA,NA
1976-01-01,MB,732.9,427.4,262.6,164.9,369,58.4,25.3,58.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,15864,38.5,42.4,32.4,NA,NA,NA,NA,NA,NA,NA,38851,NA,NA,NA,NA
1976-01-01,NB,476.8,229.6,145.3,84.3,201.7,27.9,29.1,48.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8208.6,38.3,41.5,33.1,NA,NA,NA,NA,NA,NA,NA,246589,NA,NA,NA,NA
1976-01-01,NL,367.7,162.4,111.6,50.8,150,12.4,22.7,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5852.1,40.6,42.9,35.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-01-01,NS,583.1,303,192.7,110.3,265.4,37.6,25.9,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,11353.8,39.5,42.8,33.9,NA,NA,NA,NA,NA,NA,NA,247,NA,NA,NA,NA
1976-01-01,ON,6136.3,3707.4,2280.7,1426.7,3209.1,498.3,252.7,60.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,137015,38,40.9,33.4,NA,NA,NA,NA,NA,NA,NA,800738,NA,NA,NA,NA
1976-01-01,PE,82.1,42.7,26.2,16.5,37.2,5.5,4.7,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,1564,40.5,44.2,34.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-01-01,QC,4696.3,2545.4,1665.9,879.5,2315.6,229.8,225.3,54.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,95197,38.9,41.3,34.6,NA,NA,NA,NA,NA,NA,NA,168996,NA,NA,NA,NA
1976-01-01,SK,648.1,369.5,237.6,131.9,312.2,57.3,14.6,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,13705.7,39.1,42.7,32.6,NA,NA,NA,NA,NA,NA,NA,14767,NA,NA,NA,NA
1976-02-01,AB,1285,830.7,517.8,312.9,704.3,126.4,32,64.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,31272.3,38.7,42.7,32.2,NA,NA,NA,NA,NA,NA,NA,18530,NA,NA,NA,NA
1976-02-01,BC,1856.8,1041.6,652.6,389,880.8,160.8,95.2,56.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,37478.4,37,40,31.9,NA,NA,NA,NA,NA,NA,NA,224700,NA,NA,NA,NA
1976-02-01,MB,733.8,425.4,265.7,159.7,373.3,52,22,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,15949.9,38.8,42.2,33.2,NA,NA,NA,NA,NA,NA,NA,39259,NA,NA,NA,NA
1976-02-01,NB,477.8,232.9,148,84.9,208.2,24.7,28.4,48.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,8328.1,38.6,41.8,33.4,NA,NA,NA,NA,NA,NA,NA,234001,NA,NA,NA,NA
