" ","Unique","Missing Pct.","Mean","SD","Min","Median","Max"
"foreign_parties","118","0","4.0","10.3","0.0","0.0","208.0"
"patents_filed","105","0","5.8","10.9","0.0","1.0","118.0"
"patents_filed_c","27","46","0.6","2.0","0.0","0.0","28.0"
"patents_filed_b","46","46","1.3","4.3","0.0","0.0","51.0"
"patents_filed_e","41","46","0.7","2.8","0.0","0.0","44.0"
"patents_filed_g","58","46","1.0","4.1","0.0","0.0","108.0"
"patents_filed_none_assigned","103","46","4.2","11.9","0.0","0.0","118.0"
"patents_filed_a","49","46","1.4","4.5","0.0","0.0","66.0"
"patents_filed_f","24","46","0.6","1.9","0.0","0.0","22.0"
"patents_filed_h","68","46","0.9","4.2","0.0","0.0","96.0"
"patents_filed_d","8","46","0.1","0.3","0.0","0.0","6.0"
"patents_granted","155","0","14.0","25.9","0.0","1.0","240.0"
"n_interested_parties","787","46","252.8","318.2","1.0","109.0","1837.0"
"n_inventors","434","47","97.2","121.7","1.0","42.0","746.0"
"n_owners","466","46","109.0","142.5","1.0","55.0","914.0"
"n_applicants","252","63","71.1","67.1","1.0","55.0","293.0"
"total_pop","4570","54","4342.7","3455.4","82.1","3329.7","12419.9"
"total_emp","4340","54","2662.2","2113.5","41.9","2196.4","7701.8"
"emp_males","3667","54","1437.8","1119.9","26.2","1169.2","4043.2"
"emp_females","3768","54","1224.3","997.3","15.3","1003.0","3658.6"
"total_full_emp","4169","54","2175.0","1722.9","35.9","1744.0","6295.6"
"total_part_emp","3032","54","487.2","394.7","5.0","402.4","1420.0"
"total_unem","2189","54","223.7","184.3","3.6","163.9","1032.5"
"total_emp_rate","305","54","60.9","5.3","41.8","61.0","72.5"
"emp_goods","3119","54","664.1","515.4","10.4","498.7","1721.2"
"emp_agriculture","1101","54","55.9","33.9","0.5","58.0","158.3"
"emp_natural_resources","1030","54","46.6","37.0","0.3","38.9","181.2"
"emp_utilities","558","54","22.6","18.5","0.2","14.9","67.0"
"emp_construction","2058","54","173.4","137.0","2.2","148.8","588.0"
"emp_manufacturing","2376","54","365.8","354.4","1.6","173.5","1143.0"
"emp_services","4248","54","1998.0","1622.2","27.2","1624.9","6205.6"
"emp_wholesale_and_retail","2602","54","415.1","324.5","6.1","326.7","1208.4"
"emp_transportation","1767","54","132.6","98.6","1.6","119.4","404.4"
"emp_finance","1889","54","172.8","159.2","1.0","121.6","648.9"
"emp_business","1918","54","175.4","169.8","0.3","138.9","771.4"
"emp_professional","1493","54","95.0","91.2","0.4","70.7","359.4"
"emp_education","2068","54","179.1","145.2","2.5","139.2","600.7"
"emp_healthcare","2519","54","286.2","232.8","3.6","234.1","921.0"
"emp_media","1652","54","114.4","96.8","0.9","89.1","372.3"
"emp_food","1954","54","162.4","125.4","1.4","147.1","490.1"
"emp_other","1658","54","118.3","87.8","1.6","101.4","303.9"
"emp_public","1741","54","146.7","115.1","2.7","98.4","435.4"
"total_wage","2570","70","2505.4","1916.1","42.3","1868.8","6605.5"
"total_wage_males","2303","70","1275.5","967.4","19.3","969.2","3307.9"
"total_wage_females","2241","70","1229.9","949.8","22.3","909.9","3297.6"
"total_avg_wage","1485","70","21.8","4.9","11.1","21.7","34.5"
"avg_wage_males","1554","70","23.7","5.3","11.8","23.4","37.0"
"avg_wage_females","1426","70","19.9","4.7","10.4","19.9","31.8"
"total_median_wage","770","70","19.0","4.1","10.0","19.0","30.3"
"median_wage_males","691","70","21.0","4.5","10.0","20.2","33.3"
"median_wage_females","785","70","17.3","3.8","9.0","17.3","27.9"
"median_wage_goods","710","70","21.3","5.2","9.0","20.3","36.0"
"median_wage_agriculture","396","70","12.9","3.5","5.0","12.0","27.0"
"median_wage_natural_resources","785","70","26.8","7.7","6.0","25.2","49.7"
"median_wage_utilities","783","71","31.8","8.0","15.6","30.8","55.0"
"median_wage_construction","542","70","21.9","5.2","10.5","21.0","34.1"
"median_wage_manufacturing","742","70","19.9","4.1","8.9","20.0","33.0"
"median_wage_services","771","70","18.4","3.8","10.0","18.1","29.0"
"median_wage_wholesale_and_retail","510","70","13.2","2.9","6.8","13.0","21.6"
"median_wage_transportation","728","70","20.2","3.9","10.0","20.0","32.0"
"median_wage_finance","722","70","20.9","5.3","10.0","20.0","35.9"
"median_wage_business","665","70","24.1","5.9","10.0","23.9","41.0"
"median_wage_professional","503","70","13.9","3.4","5.6","13.3","25.0"
"median_wage_education","798","70","25.7","5.3","14.4","25.6","43.3"
"median_wage_healthcare","835","70","19.8","3.9","11.0","20.0","30.0"
"median_wage_media","673","70","18.4","3.9","7.0","18.0","34.6"
"median_wage_food","278","70","10.5","2.5","5.5","10.3","17.4"
"median_wage_other","566","70","15.9","3.8","5.8","15.1","28.9"
"median_wage_public","908","70","27.6","6.6","13.5","27.4","43.6"
"wages_paid_goods","1923","70","574.2","444.1","7.6","428.8","1495.1"
"wages_paid_agriculture","447","70","19.8","12.5","0.5","17.8","58.5"
"wages_paid_natural_resources","718","70","42.4","38.5","0.2","32.0","171.2"
"wages_paid_utilities","466","71","22.8","17.9","0.2","16.9","65.2"
